—	Em dash (longer)
–	En dash (shorter)
…	Ellipsis
“	Left double quotation mark (ldquo, start quotation)
„	Double low quoatition mark (bdquo, start quotation)
”	Right double quotation mark (rdquo, end quotation)
‘	Left single quotation mark (lsquo, start quotation)
’	Single low quoatition mark (sbquo, start quotation)
‚	Right single quotation mark (rsquo, end quotation)
»	Right angle quote (raquo)
«	Left angle quote (laquo)
©	Copyright mark
®	Registered trademark
€	Euro sign
‹	Single left-pointing angle quotation mark
›	Single right-pointing angle quotation mark
×	Multiplication sign
▶	Right pointing triangle (play sign)
▌	Rectangle (half a pause sign)
■	Black square (stop sign)
